        100, 100, 101,     10000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
11100100100, 100, 101,     10000, a shifted =      111001, a shifted mod 8 = 001, a remultiplied =      100000, a unshifted =    001-----,  a mod8 = 000, num = 001, 1
11100101100, 100, 101,     10000, a shifted =      111001, a shifted mod 8 = 001, a remultiplied =      100000, a unshifted =    001-----,  a mod8 = 000, num = 001, 1
11100110100, 100, 101,     10000, a shifted =      111001, a shifted mod 8 = 001, a remultiplied =      100000, a unshifted =    001-----,  a mod8 = 000, num = 001, 1
11100111010,  10,  11,       100, a shifted =    11100111, a shifted mod 8 = 111, a remultiplied =      111000, a unshifted =      111---,  a mod8 = 110, num = 001, 1
11100111011,  11,  10,      1000, a shifted =   111001110, a shifted mod 8 = 110, a remultiplied =       11000, a unshifted =       110--,  a mod8 = 111, num = 001, 1
11100111100, 100, 101,     10000, a shifted =      111001, a shifted mod 8 = 001, a remultiplied =      100000, a unshifted =    001-----,  a mod8 = 000, num = 001, 1
11101011011,  11,  10,      1000, a shifted =   111010110, a shifted mod 8 = 110, a remultiplied =       11000, a unshifted =       110--,  a mod8 = 111, num = 001, 1
11101111010,  10,  11,       100, a shifted =    11101111, a shifted mod 8 = 111, a remultiplied =      111000, a unshifted =      111---,  a mod8 = 110, num = 001, 1
11101111011,  11,  10,      1000, a shifted =   111011110, a shifted mod 8 = 110, a remultiplied =       11000, a unshifted =       110--,  a mod8 = 111, num = 001, 1
11110000101, 101, 100,    100000, a shifted =     1111000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =     000----,  a mod8 = 001, num = 001, 1
11110001101, 101, 100,    100000, a shifted =     1111000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =     000----,  a mod8 = 001, num = 001, 1
11110011011,  11,  10,      1000, a shifted =   111100110, a shifted mod 8 = 110, a remultiplied =       11000, a unshifted =       110--,  a mod8 = 111, num = 001, 1
11110111010,  10,  11,       100, a shifted =    11110111, a shifted mod 8 = 111, a remultiplied =      111000, a unshifted =      111---,  a mod8 = 110, num = 001, 1
11110111011,  11,  10,      1000, a shifted =   111101110, a shifted mod 8 = 110, a remultiplied =       11000, a unshifted =       110--,  a mod8 = 111, num = 001, 1
11111011011,  11,  10,      1000, a shifted =   111110110, a shifted mod 8 = 110, a remultiplied =       11000, a unshifted =       110--,  a mod8 = 111, num = 001, 1
11111111010,  10,  11,       100, a shifted =    11111111, a shifted mod 8 = 111, a remultiplied =      111000, a unshifted =      111---,  a mod8 = 110, num = 001, 1
11111111011,  11,  10,      1000, a shifted =   111111110, a shifted mod 8 = 110, a remultiplied =       11000, a unshifted =       110--,  a mod8 = 111, num = 001, 1
        110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
       1110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
      10110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
      11110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
     100010,  10,  11,       100, a shifted =         100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
     100110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
     101110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
     110101, 101, 100,    100000, a shifted =          11, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
     110110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
     111101, 101, 100,    100000, a shifted =          11, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
     111110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
    1000100, 100, 101,     10000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
    1000110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
    1000111, 111, 110,  10000000, a shifted =           1, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
    1001100, 100, 101,     10000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
    1001110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
    1001111, 111, 110,  10000000, a shifted =           1, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
    1010100, 100, 101,     10000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
    1010110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
    1010111, 111, 110,  10000000, a shifted =           1, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
    1011100, 100, 101,     10000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
    1011110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
    1011111, 111, 110,  10000000, a shifted =           1, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
    1100010,  10,  11,       100, a shifted =        1100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
    1100110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
    1100111, 111, 110,  10000000, a shifted =           1, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
    1101110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
    1101111, 111, 110,  10000000, a shifted =           1, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
    1110110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
    1110111, 111, 110,  10000000, a shifted =           1, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
    1111110, 110, 111,   1000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
    1111111, 111, 110,  10000000, a shifted =           1, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
   10100010,  10,  11,       100, a shifted =       10100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
   10110101, 101, 100,    100000, a shifted =        1011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
   10111101, 101, 100,    100000, a shifted =        1011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
   11100010,  10,  11,       100, a shifted =       11100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
  100100010,  10,  11,       100, a shifted =      100100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
  100110101, 101, 100,    100000, a shifted =       10011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
  100111101, 101, 100,    100000, a shifted =       10011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
  101000100, 100, 101,     10000, a shifted =        1010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
  101001100, 100, 101,     10000, a shifted =        1010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
  101010100, 100, 101,     10000, a shifted =        1010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
  101011100, 100, 101,     10000, a shifted =        1010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
  101100010,  10,  11,       100, a shifted =      101100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
  110100010,  10,  11,       100, a shifted =      110100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
  110110101, 101, 100,    100000, a shifted =       11011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
  110111101, 101, 100,    100000, a shifted =       11011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
  111100010,  10,  11,       100, a shifted =      111100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
 1000100010,  10,  11,       100, a shifted =     1000100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
 1000110101, 101, 100,    100000, a shifted =      100011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
 1000111101, 101, 100,    100000, a shifted =      100011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
 1001000100, 100, 101,     10000, a shifted =       10010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
 1001000111, 111, 110,  10000000, a shifted =        1001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
 1001001100, 100, 101,     10000, a shifted =       10010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
 1001001111, 111, 110,  10000000, a shifted =        1001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
 1001010100, 100, 101,     10000, a shifted =       10010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
 1001010111, 111, 110,  10000000, a shifted =        1001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
 1001011100, 100, 101,     10000, a shifted =       10010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
 1001011111, 111, 110,  10000000, a shifted =        1001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
 1001100010,  10,  11,       100, a shifted =     1001100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
 1001100111, 111, 110,  10000000, a shifted =        1001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
 1001101111, 111, 110,  10000000, a shifted =        1001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
 1001110111, 111, 110,  10000000, a shifted =        1001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
 1001111111, 111, 110,  10000000, a shifted =        1001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
 1010100010,  10,  11,       100, a shifted =     1010100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
 1010110101, 101, 100,    100000, a shifted =      101011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
 1010111101, 101, 100,    100000, a shifted =      101011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
 1011100010,  10,  11,       100, a shifted =     1011100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
 1100100010,  10,  11,       100, a shifted =     1100100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
 1100110101, 101, 100,    100000, a shifted =      110011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
 1100111101, 101, 100,    100000, a shifted =      110011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
 1101000100, 100, 101,     10000, a shifted =       11010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
 1101001100, 100, 101,     10000, a shifted =       11010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
 1101010100, 100, 101,     10000, a shifted =       11010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
 1101011100, 100, 101,     10000, a shifted =       11010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
 1101100010,  10,  11,       100, a shifted =     1101100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
 1110100010,  10,  11,       100, a shifted =     1110100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
 1110110101, 101, 100,    100000, a shifted =      111011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
 1110111101, 101, 100,    100000, a shifted =      111011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
 1111100010,  10,  11,       100, a shifted =     1111100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
10000000110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10000001110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10000010110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10000011110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10000100010,  10,  11,       100, a shifted =    10000100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
10000100110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10000101110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10000110101, 101, 100,    100000, a shifted =     1000011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
10000110110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10000111101, 101, 100,    100000, a shifted =     1000011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
10000111110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10001000100, 100, 101,     10000, a shifted =      100010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
10001000110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10001000111, 111, 110,  10000000, a shifted =       10001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
10001001100, 100, 101,     10000, a shifted =      100010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
10001001110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10001001111, 111, 110,  10000000, a shifted =       10001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
10001010100, 100, 101,     10000, a shifted =      100010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
10001010110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10001010111, 111, 110,  10000000, a shifted =       10001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
10001011100, 100, 101,     10000, a shifted =      100010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
10001011110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10001011111, 111, 110,  10000000, a shifted =       10001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
10001100010,  10,  11,       100, a shifted =    10001100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
10001100110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10001100111, 111, 110,  10000000, a shifted =       10001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
10001101110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10001101111, 111, 110,  10000000, a shifted =       10001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
10001110110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10001110111, 111, 110,  10000000, a shifted =       10001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
10001111110, 110, 111,   1000000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =  000-------,  a mod8 = 010, num = 010, 2
10001111111, 111, 110,  10000000, a shifted =       10001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
10010100010,  10,  11,       100, a shifted =    10010100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
10010110101, 101, 100,    100000, a shifted =     1001011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
10010111101, 101, 100,    100000, a shifted =     1001011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
10011100010,  10,  11,       100, a shifted =    10011100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
10100100010,  10,  11,       100, a shifted =    10100100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
10100110101, 101, 100,    100000, a shifted =     1010011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
10100111101, 101, 100,    100000, a shifted =     1010011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
10101000100, 100, 101,     10000, a shifted =      101010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
10101001100, 100, 101,     10000, a shifted =      101010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
10101010100, 100, 101,     10000, a shifted =      101010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
10101011100, 100, 101,     10000, a shifted =      101010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
10101100010,  10,  11,       100, a shifted =    10101100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
10110100010,  10,  11,       100, a shifted =    10110100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
10110110101, 101, 100,    100000, a shifted =     1011011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
10110111101, 101, 100,    100000, a shifted =     1011011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
10111100010,  10,  11,       100, a shifted =    10111100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
11000100010,  10,  11,       100, a shifted =    11000100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
11000110101, 101, 100,    100000, a shifted =     1100011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
11000111101, 101, 100,    100000, a shifted =     1100011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
11001000100, 100, 101,     10000, a shifted =      110010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
11001000111, 111, 110,  10000000, a shifted =       11001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
11001001100, 100, 101,     10000, a shifted =      110010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
11001001111, 111, 110,  10000000, a shifted =       11001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
11001010100, 100, 101,     10000, a shifted =      110010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
11001010111, 111, 110,  10000000, a shifted =       11001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
11001011100, 100, 101,     10000, a shifted =      110010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
11001011111, 111, 110,  10000000, a shifted =       11001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
11001100010,  10,  11,       100, a shifted =    11001100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
11001100111, 111, 110,  10000000, a shifted =       11001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
11001101111, 111, 110,  10000000, a shifted =       11001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
11001110111, 111, 110,  10000000, a shifted =       11001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
11001111111, 111, 110,  10000000, a shifted =       11001, a shifted mod 8 = 001, a remultiplied =     1000000, a unshifted =   001------,  a mod8 = 011, num = 010, 2
11010100010,  10,  11,       100, a shifted =    11010100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
11010110101, 101, 100,    100000, a shifted =     1101011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
11010111101, 101, 100,    100000, a shifted =     1101011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
11011100010,  10,  11,       100, a shifted =    11011100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
11100100010,  10,  11,       100, a shifted =    11100100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
11100110101, 101, 100,    100000, a shifted =     1110011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
11100111101, 101, 100,    100000, a shifted =     1110011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
11101000100, 100, 101,     10000, a shifted =      111010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
11101001100, 100, 101,     10000, a shifted =      111010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
11101010100, 100, 101,     10000, a shifted =      111010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
11101011100, 100, 101,     10000, a shifted =      111010, a shifted mod 8 = 010, a remultiplied =     1000000, a unshifted =    010-----,  a mod8 = 000, num = 010, 2
11101100010,  10,  11,       100, a shifted =    11101100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
11110100010,  10,  11,       100, a shifted =    11110100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
11110110101, 101, 100,    100000, a shifted =     1111011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
11110111101, 101, 100,    100000, a shifted =     1111011, a shifted mod 8 = 011, a remultiplied =      110000, a unshifted =     011----,  a mod8 = 001, num = 010, 2
11111100010,  10,  11,       100, a shifted =    11111100, a shifted mod 8 = 100, a remultiplied =      100000, a unshifted =      100---,  a mod8 = 110, num = 010, 2
        111, 111, 110,  10000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =   000------,  a mod8 = 011, num = 011, 3
       1111, 111, 110,  10000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =   000------,  a mod8 = 011, num = 011, 3
      10011,  11,  10,      1000, a shifted =         100, a shifted mod 8 = 100, a remultiplied =       10000, a unshifted =       100--,  a mod8 = 111, num = 011, 3
      10111, 111, 110,  10000000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =   000------,  a mod8 = 011, num = 011, 3
